nome,territorio,intencao_sonora,por_que_entra_na_rodada,risco_inicial
Aviva,Vida em movimento,aberto luminoso e humano,Curto internacional e com energia de vida sem parecer técnico; funciona para profissionais e público geral,provável uso prévio elevado
Aflora,Desabrochar e cuidado,brasileiro suave e positivo,Evoca melhora crescimento e cuidado integral com beleza oral imediata,uso prévio provável em wellness
Soma,Integralidade corpo e união,curto forte e universal,Remete ao corpo e ao conjunto; cabe em saúde integrativa IA e marketplace,uso prévio alto
Savia,Sabedoria e vida,macio inteligente e feminino,Une sabedoria com vida sem explicitar IA; soa profissional e acolhedor,precisa checagem
Sabiá,Brasilidade inteligente,memorável musical e popular,Nome brasileiro bonito fácil de falar e associado a canto leveza e inteligência,acento e muitos usos culturais
Zelo,Cuidado responsável,simples quente e confiável,Palavra compreensível por dona Maria e respeitável para médicos; comunica cuidado com responsabilidade,uso comum e baixa distintividade isolada
Zelos,Cuidado elevado,curto clássico e institucional,Eleva o sentido de zelo sem ser literal demais; mais registrável que Zelo,possível associação religiosa/mitológica
Nexo,Conexão e inteligência,preciso profissional e simples,Expressa conexão entre médico paciente produto e IA; forte para plataforma,uso prévio alto
Una,União e plataforma,curto feminino e inclusivo,Comunica integrar profissionais produtos dados e pessoas em uma só experiência,uso prévio alto
Unna,União proprietária,curto macio e memorável,Variação mais própria de Una com som simples e premium,precisa checagem
Viva,Vitalidade popular,aberto fácil e universal,Entendido por todos e muito positivo para saúde e bem-estar,genérico e uso alto
Vivá,Vitalidade com assinatura,aberto brasileiro e marcante,Acento cria marca mais sonora e alegre sem perder simplicidade,acento pode limitar digital
Vivera,Vida continuada,fluido caloroso e elegante,Parece plataforma de vida e saúde sem ser médica demais; fácil para fala cotidiana,uso prévio provável
Viora,Vida e orientação,macio e premium,Soa bonito mas já foi problemático na rodada anterior; mantido apenas como controle,rejeitar se conflito confirmado
Orbe,Círculo e ecossistema,curto redondo e sofisticado,Comunica mundo/ecossistema de saúde em torno da pessoa,mais abstrato para público popular
Orbia,Ecossistema humano,redondo e feminino,Mais acolhedor que Orbe; sugere plataforma ampla e mundo de cuidado,possível uso em marcas globais
Clara,Transparência e entendimento,limpo familiar e confiável,Promessa de clareza em saúde e IA; ótimo para confiança popular,uso muito alto como nome próprio e marcas
Claria,Clareza proprietária,claro suave e técnico-humano,Mais marcável que Clara; comunica orientação e compreensão,precisa checagem
Lumina,Luz e clareza,belo luminoso e clássico,Evoca orientação e inteligência sem frieza tecnológica,uso alto
Lume,Luz próxima,curto quente e brasileiro,Palavra bonita e simples; soa como guia e cuidado,uso prévio provável
Lúmia,Luz humana,macio premium e memorável,Mais distintivo que Lume; sugere clareza e tecnologia gentil,precisa checagem
Aurora,Recomeço e esperança,clássico belo e universal,Nome emocionalmente forte para saúde preventiva e transformação,uso prévio muito alto
Alma,Humanidade e essência,profundo simples e popular,Abraça profissionais e usuários por uma dimensão humana e calorosa,uso alto e possível espiritualidade
AlmaViva,Humanidade vital,caloroso brasileiro e amplo,Combina acolhimento e vida de modo popular e bonito,pode soar longo
Amparo,Proteção e confiança,forte brasileiro e acolhedor,Palavra de segurança popular e profissional; excelente para saúde e cuidado,genérico mas forte
Ampara,Proteção ativa,verbo macio e humano,Parece ação de cuidar e apoiar; fácil de explicar e lembrar,uso prévio provável
Acolhe,Acolhimento,verbo simples e humano,Comunica inclusão da dona Maria ao médico; plataforma que acolhe,descritivo e comum
Acolá,Lugar de cuidado,brasileiro curioso e leve,Sugere lugar próximo com calor humano e diferença sonora,risco de informalidade
Cuidar,Cuidado direto,popular e inequívoco,Entendido por todos e legítimo em saúde,genérico demais
Cuida,Cuidado direto,simples e cotidiano,Muito acessível e verbal; fácil em frases de uso,genérico e pouco premium
Cuidê,Cuidado com assinatura,leve brasileiro e memorável,Mais proprietário que Cuida e com oralidade simpática,acento e possível infantilização
Bem,Bem-estar essencial,mínimo e universal,Extremamente simples e positivo,genérico demais isolado
Bemma,Bem-estar proprietario,macio feminino e simples,Sugere bem-estar com forma de marca curta e humana,precisa checagem
Bema,Bem-estar simplificado,curto e amigável,Fácil para todo público e visualmente limpo,pode soar pequeno demais
Bemora,Bem-estar e morada,caloroso amplo e memorável,Sugere lugar de bem-estar e cuidado; plataforma como casa confiável,precisa checagem
Morada,Casa e pertencimento,caloroso popular e bonito,Comunica lugar seguro onde profissionais e usuários se encontram,uso alto e pode parecer imobiliário
Mora,Presença e casa,curto delicado e humano,Parece próximo e acolhedor; bom para plataforma de rotina,abstrato demais
Curae,Cuidado sofisticado,latino médico e premium,Remete a cura/care com aparência internacional,pronúncia ambígua
Curare,Cuidado clássico,latino fluido e médico,Tem base de curar/cuidado e tom profissional,associação farmacológica indesejada
Sanar,Resolver e cuidar,verbo forte e claro,Profissionais entendem; público entende solução de saúde,uso alto em educação médica
Sana,Saúde latina,curto limpo e universal,Bonito e óbvio sem ser pesado,uso global muito alto
Saná,Saúde com assinatura,curto brasileiro e sonoro,Acento dá personalidade e facilita fala brasileira,acento e uso
Sanora,Saúde sonora,fluido e confiável,Sugere saúde e orientação com boa musicalidade,possível uso prévio
Salus,Saúde clássica,latino institucional e premium,Credibilidade profissional e história sem ser genérico,menos popular para dona Maria
Salva,Proteção vital,forte emocional e simples,Tem energia de ajuda imediata e cuidado,pode soar emergencial demais
Serena,Tranquilidade e confiança,macio belo e universal,Nome lindo e acolhedor; bom para saúde sem ansiedade,uso alto
Sereno,Tranquilidade confiável,masculino calmo e simples,Mais institucional que Serena e fácil para todos,pode soar pouco plataforma
Serenae,Serenidade proprietária,premium e suave,Tenta diferenciar Serena mantendo beleza,pronúncia pode variar
Seres,Humanidade coletiva,curto plural e filosófico,Abraça profissionais e pacientes como pessoas antes de papéis,abstrato
Ser Saúde,Humanidade e saúde,claro e humano,Frase simples com duplo sentido de ser e saúde,pouco proprietário
Integra,Integralidade,profissional e claro,Comunica saúde integrativa e ecossistema,uso alto e genérico
Íntegra,Confiança e integralidade,ético e profissional,Excelente para credibilidade; sugere integridade e cuidado integral,acento e uso prévio alto
Inteiro,Integralidade humana,brasileiro e caloroso,Nome humano para cuidado da pessoa inteira; forte conceito,pode soar adjetivo
Inteira,Integralidade acolhedora,feminino e humano,Sugere cuidado completo com beleza simples,pode soar programa/editorial
Plena,Completude e bem-estar,curto belo e popular,Entendido por todos; aspira saúde integral,uso alto
Pleno,Completude profissional,curto confiável e amplo,Mais institucional; cabe para profissionais e usuários,uso alto
Pleni,Completude proprietária,curto macio e digital,Variação marcável de Pleno/Plena sem perder sentido,precisa checagem
Totalis,Integralidade premium,latino e institucional,Comunica cuidado completo e ecossistema,menos popular
Todo,Bem de todos,simples democrático e forte,Abraça universalidade e marketplace para todos,genérico e uso alto
Toddo,Todos com marca,curto popular e proprietário,Variação visual de todo; fácil e inclusivo,pode parecer startup genérica
Todos,Universalidade,coletivo e claro,Democrático e acolhedor; bom para saúde acessível,genérico demais
Juntos,Comunidade e cuidado,popular emocional e claro,Comunica profissionais e usuários em rede,genérico
Junta,Comunidade,informal e brasileira,Simples mas talvez inadequado para saúde profissional,baixo premium
Laços,Relação e confiança,brasileiro bonito e humano,Evoca vínculo entre profissional paciente e família,acento e uso comum
Laço,Relação singular,curto afetivo e brasileiro,Conecta pessoas sem parecer tecnológico,pode lembrar Doutorelo/elo
Vínculo,Confiança profissional,profundo e humano,Ótimo conceito para cuidado continuado e marketplace,acento e palavra longa
Vincula,Conexão ativa,profissional e claro,Verbo de plataforma; conecta pessoas e cuidados,pode soar jurídico
Ponte,Conexão e acesso,simples popular e forte,Metáfora universal para plataforma que aproxima profissionais e pacientes,genérico mas excelente
Pontia,Ponte proprietária,macio e plataforma,Variação mais marcável de Ponte com tom feminino,precisa checagem
Ninho,Acolhimento e proteção,caloroso popular e memorável,Saúde como lugar seguro; pode funcionar muito bem para famílias,pode soar infantil
Nina,Proximidade e cuidado,curto doce e humano,Muito fácil e afetuoso; pode virar assistente IA,soa infantil/nome próprio
Nona,Sabedoria familiar,curto humano e popular,Remete a cuidado familiar e tradição,pode parecer restaurante/família italiana
Mãe,Cuidado primordial,fortíssimo e popular,Extremamente emocional e universal,pode restringir e gerar complexidade
Meya,Meio e mediação,curto suave e moderno,Sugere mediação entre pessoas e cuidado,precisa checagem
Meio,Caminho e acesso,simples e conceitual,Plataforma como meio seguro para cuidar,abstrato
Caminho,Jornada e orientação,popular e humano,Nome claro para navegar saúde; fácil de entender,genérico
Guia,Orientação,curto simples e confiável,Promessa central de IA e profissionais: orientar sem substituir,genérico alto
Guiar,Orientação ativa,verbo simples e profissional,Boa para plataforma de cuidado assistido,genérico
Norte,Direção e confiança,forte brasileiro e claro,Oferece orientação em saúde; soa profissional e popular,uso alto
Nortia,Direção proprietária,claro feminino e leve,Cria marca de orientação sem literalidade excessiva,precisa checagem
Rumo,Direção cotidiana,curto popular e otimista,Ajuda pessoas a encontrarem caminho de saúde,genérico
Ruma,Direção feminina,curto e simples,Variação mais proprietária com som aberto,pode soar estranho
Via,Canal e caminho,curto universal e elegante,Ótimo para plataforma: via de acesso ao cuidado,genérico alto
ViaSaúde,Caminho de saúde,claro popular e profissional,Fácil para todos e direto,descritivo e pouco sofisticado
Viara,Caminho e vida,fluido feminino e bonito,Sugere via + vida com sonoridade agradável,precisa checagem
Viora,Controle interno,macio premium,Mantido só como benchmark já descartado por conflito,conflito direto anterior
Viela,Caminho próximo,brasileiro e acolhedor,Sugere caminho humano de bairro e acesso,pode soar pequeno demais
Vereda,Caminho natural,brasileiro literário e bonito,Evoca percurso, natureza e cuidado integrativo,uso literário e pode soar regional
Trilha,Jornada de cuidado,brasileiro claro e saudável,Bom para jornada do paciente e profissional,pode soar app de educação/fitness
Rotina,Cuidado cotidiano,popular e simples,Saúde como hábito do dia a dia,pouco premium
Ritmo,Hábito e vida,curto dinâmico e humano,Saúde como equilíbrio de rotina,pode parecer música/fitness
Pulso,Vida e tecnologia,forte médico e humano,Excelente ligação com vida, saúde e monitoramento,pode soar clínico/financeiro
Pulsar,Vida em movimento,poético e energético,Boa sonoridade e saúde sem literalidade,uso alto
Vitae,Vida clássica,premium e internacional,Profissional e bonito,mas menos popular e uso alto
Vita,Vida simples,curto universal e positivo,Muito forte mas extremamente usado,uso altíssimo
Vital,Vida e saúde,claro e profissional,Fácil e confiável,pouco distintivo
Vitala,Vitalidade proprietária,fluido feminino e aberto,Mais marcável que Vital; soa plataforma de saúde ampla,precisa checagem
Vitar,Verbo vital,curto e ativo,Inventa ação de viver melhor,pode soar neologismo estranho
Floresce,Crescimento e cuidado,bonito popular e positivo,Evoca evolução de saúde e bem-estar de forma humana,longo e comum
Florir,Crescimento,poético e brasileiro,Saúde como florescer; bonito e fácil,pode soar wellness demais
Florá,Natureza e vitalidade,curto macio e memorável,Associa saúde integrativa e vida natural sem ser suplemento,acento e uso provável
Natura,Cuidado natural,forte e conhecido,Excelente semântica mas inviável por marca famosa,descartar
Essenza,Essência premium,sofisticado sensorial e amplo,Sugere saúde integrativa e curadoria premium,pode soar cosmético/italiano
Essena,Essência simplificada,macio e premium,Mais acessível que Essenza,precisa checagem
Raiz,Cuidado essencial,brasileiro forte e natural,Comunica base saúde integrativa e autenticidade,uso comum
Raíza,Raiz com assinatura,brasileiro bonito e humano,Tem força natural e som de nome próprio,acento e checagem
Terra,Cuidado natural e amplo,simples forte e popular,Conecta natureza, vida e confiança,pode parecer agro/imobiliário
Liva,Vida leve,curto lindo e fácil,Sugere life/viva com simplicidade e beleza; bom para todos,uso prévio provável
Livia,Vida humana,clássico leve e confiável,Nome próprio bonito com raiz de vida,pode confundir com pessoa
Livra,Libertar e cuidar,forte mas ambíguo,Sugere aliviar e remover barreiras,pode remeter a livrar de doença
Leve,Bem-estar e simplicidade,brasileiro claro e bonito,Promessa de saúde menos complicada; muito popular,genérico e uso alto
Levia,Leveza proprietária,macio elegante e claro,Boa sonoridade; tecnologia gentil e cuidado acessível,precisa checagem
Lévia,Leveza com assinatura,belo e feminino,Acento dá refinamento; soa como nome próprio,acento e checagem
Alívio,Cuidado imediato,popular emocional e claro,Promessa forte para saúde e orientação,acentos e pode soar remédio
Aurea,Valor e luz,premium clássico e belo,Transmite excelência e cuidado de alto valor,uso alto e acento opcional
Áurea,Valor e luz,clássico brasileiro e premium,Sonoridade bonita; bom para marca elegante,acento e uso
Auri,Luz e valor,curto macio e premium,Variação simples e memorável de áureo/aurora,precisa checagem
Auren,Luz e confiança,curto moderno e sereno,Som premium sem ser frio; bom para plataforma ampla,precisa checagem
Aura,Presença e bem-estar,curto sensorial e universal,Bonito e humano; saúde como presença e energia,uso alto e pode soar místico
Aro,Círculo e cuidado,curto redondo e simples,Sugere rede/ecossistema sem usar elo,pode ser abstrato demais
Arvo,Árvore e vida,curto natural e forte,Evoca vida crescimento e raízes com som escandinavo/latino,precisa checagem
Árvore,Vida e ecossistema,brasileiro simbólico e bonito,Plataforma como árvore de cuidado; universal e caloroso,longo e acento
Bosque,Natureza e acolhimento,calmo brasileiro e memorável,Sensação de lugar seguro e vivo,pode parecer hotel/escola
Círculo,Comunidade e integralidade,humano e abrangente,Ótimo conceito de rede de cuidado ao redor da pessoa,genérico e longo
Circa,Em torno de todos,curto sofisticado e redondo,Sugere cuidado ao redor; mais premium que círculo,possível uso alto
Cerca,Proteção,simples mas ambíguo,Protege e aproxima mas pode soar barreira,semântico ambíguo
Aldeia,Comunidade e proximidade,brasileiro acolhedor e popular,Comunidade de saúde com profissionais e famílias,pode soar artesanal demais
Vila,Cuidado próximo,curto popular e humano,Plataforma como lugar de confiança local,uso alto e imobiliário
Vila Saúde,Lugar popular de cuidado,claro e acolhedor,Entendido por todos; bom para público amplo,descritivo e pouco premium
Domo,Proteção e espaço,curto forte e arquitetônico,Sugere abrigo/ecossistema tecnológico,menos caloroso
Domus,Casa e confiança,latino institucional,Profissional e sólido; casa de saúde e cuidado,menos popular
Casa,Casa e acolhimento,máximo familiar e simples,Fortíssimo para dona Maria e família; plataforma de confiança,genérico alto
CasaViva,Casa e vida,caloroso amplo e memorável,Combina pertencimento com saúde/vitalidade; bonito para todos,uso provável
Cassa,Variação proprietária de casa,curto macio e premium,Preserva familiaridade com distintividade,pode associar a caça/cassa
Harmonia,Equilíbrio integrativo,bonito claro e universal,Comunica saúde integrativa e bem-estar,uso alto e longo
Harmona,Harmonia proprietária,macio e premium,Mais marcável que Harmonia; soa saúde integral,precisa checagem
Equilibra,Equilíbrio ativo,claro e profissional,Boa promessa para medicina integrativa e nutrição,uso comum
Balanço,Equilíbrio popular,brasileiro claro e humano,Saúde como equilíbrio de vida,pode parecer financeiro/música
Prisma,Clareza e múltiplas perspectivas,profissional e bonito,Sugere IA e visão integral sobre a saúde,uso alto e menos popular
Prana,Energia vital,curto espiritual e wellness,Bonito para integrativa mas talvez místico demais,uso alto
Anima,Vida e alma,clássico forte e humano,Evoca vitalidade e animação; sofisticado e popularizável,uso alto
Ânima,Vida e alma,profundo premium e humano,Mais distinto visualmente,acento e uso alto
Animae,Vida e alma proprietária,premium e suave,Eleva Anima sem perder sentido,pronúncia ambígua
Eunoia,Bela mente,sofisticado e conceitual,Significa bela mente/boa vontade mas difícil para popular,rejeitar para massa
Sopro,Vida e respiração,poético e humano,Evoca vida leveza e cuidado,pode soar frágil
Respiro,Alívio e cuidado,popular e emocional,Saúde que dá respiro; forte para vida cotidiana,pode restringir a respiração
Brisa,Leveza e acolhimento,belo simples e brasileiro,Nome fácil e agradável; saúde sem peso,uso alto e pode soar leve demais
Oásis,Refúgio e cuidado,forte visual e acolhedor,Lugar seguro em meio à complexidade da saúde,acento e uso alto
Maná,Nutrição e cuidado,curto sonoro e popular,Evoca alimento/cuidado recebido; bom para nutrição integrativa,religioso e acento
Nouri,Nutrição e cuidado,curto internacional e macio,Remete a nourish; bom para nutrição e wellness,inglês demais
Nora,Luz e cuidado humano,curto clássico e familiar,Fácil para todos, bonito e confiável,nome próprio e uso alto
Nora Saúde,Cuidado familiar,claro e humano,Assinatura de saúde amplia entendimento,risco de nome próprio
Nuria,Luz e cuidado,macio e internacional,Bonito e memorável,mas pode soar estrangeiro/nome próprio
Mira,Direção e cuidado,curto lindo e universal,Significa olhar, objetivo e mira; bom para IA que orienta,uso alto
Mirá,Direção com assinatura,curto brasileiro e sonoro,Acento cria marca falada e memorável,acento e checagem
Mirai,Futuro em japonês,tecnológico e belo,Bonito mas menos popular; remete futuro,pronúncia pode variar
Olhar,Visão humana,simples e sensível,Plataforma que olha a pessoa inteira,genérico e talvez editorial
Vela,Cuidado e guia,curto poético e humano,Remete a vigiar/cuidar e luz; bonito e simples,uso alto e ambiguidade com objeto
Velar,Cuidar e proteger,verbo nobre e profissional,Significa cuidar/vigiar; excelente semântica,menos popular e associa funeral
Velo,Movimento e leveza,curto elegante,Não comunica saúde diretamente mas soa premium,abstrato
Candeia,Luz acolhedora,brasileiro poético e caloroso,Evoca luz popular e humana; bonito e memorável,pode soar antigo
Clareia,Entendimento e guia,popular e bonito,Promessa de tornar saúde clara; fácil para todos,descritivo
Entenda,Clareza popular,verbo direto e humano,Muito aderente à IA que explica saúde,pouco marca premium
Alumia,Iluminar humano,macio claro e bonito,Sugere clareza e acolhimento sem frieza,precisa checagem
Alevia,Alívio e leveza,bonito e humano,Promessa de simplificar e aliviar jornada de saúde,precisa checagem
Aleva,Elevar e aliviar,curto aberto e positivo,Evoca melhora e suporte; fácil e bonito,precisa checagem
Eleva,Elevação de saúde,claro premium e positivo,Profissionais gostam; público entende melhora,uso alto
Eleva Saúde,Elevar saúde,claro e confiável,Assinatura direta para todos,descritivo e uso provável
Vera,Verdade e confiança,curto clássico e universal,Comunica verdade e transparência em IA/saúde,nome próprio e uso alto
Verus,Verdade institucional,latino forte e profissional,Boa credibilidade; menos popular mas simples,uso provável
Verda,Verdade e vida,curto suave e natural,Sugere verdade + verde/vida; marca proprietária possível,precisa checagem
Fiel,Confiança e compromisso,curto popular e forte,Nome de confiança para saúde e marketplace,pode soar religioso/bancário
Confia,Confiança direta,verbo popular e claro,Promessa essencial para saúde digital,genérico e pouco premium
Certeza,Segurança popular,forte mas talvez absoluto,Saúde não deve prometer certeza clínica,risco regulatório
Seguro,Proteção,claro e popular,Pode gerar confiança,mas parece seguro/insurance
Nobre,Cuidado elevado,popular e premium,Comunica respeito e qualidade para profissionais,uso alto e talvez elitista
Digno,Respeito e acesso,forte humano e ético,Saúde digna para todos; belo conceito social,pode soar institucional
Humana,Humanidade,claro e acolhedor,Excelente para plataforma com IA humanizada,uso alto e genérico
Humano,Cuidado humano,simples e universal,Boa contraposição à IA fria,uso alto
Humania,Humanidade proprietária,amplo e claro,Marca para saúde humana assistida por IA,precisa checagem
Pessoa,Cuidado centrado na pessoa,simples e filosófico,Abraça todos os públicos; forte conceito,genérico e uso alto
Pessoas,Comunidade ampla,humano e democrático,Plataforma de pessoas e profissionais,genérico demais
Nós,Coletividade e vínculo,mínimo emocional e popular,Fortíssimo em comunidade e inclusão,caracteres/uso e genericidade
Nosa,Coletividade proprietária,curto humano e macio,Sugere nós/nossa com marca curta,pode parecer erro ortográfico
Nossa Saúde,Pertencimento popular,caloroso e claro,Abraça todos e é fácil de adotar,descritivo alto
