nome,territorio,intencao_sonora,por_que_entra_na_rodada,risco_inicial,beleza_sonora,facilidade_popular,credibilidade_profissional,plataforma_ampla,calor_humano,distintividade,risco_preliminar,score_total
Ampara,Proteção ativa,verbo macio e humano,Parece ação de cuidar e apoiar; fácil de explicar e lembrar,uso prévio provável,9.2,9.5,8.8,8.8,9.6,7.0,6.8,8.61
Alumia,Iluminar humano,macio claro e bonito,Sugere clareza e acolhimento sem frieza,precisa checagem,9.2,8.4,8.1,8.5,8.8,7.7,7.0,8.29
Inteira,Integralidade acolhedora,feminino e humano,Sugere cuidado completo com beleza simples,pode soar programa/editorial,8.7,9.0,8.6,9.0,8.8,6.8,6.4,8.26
Aflora,Desabrochar e cuidado,brasileiro suave e positivo,Evoca melhora crescimento e cuidado integral com beleza oral imediata,uso prévio provável em wellness,9.4,9.0,7.8,8.2,9.0,7.2,6.4,8.22
Alevia,Alívio e leveza,bonito e humano,Promessa de simplificar e aliviar jornada de saúde,precisa checagem,9.0,8.7,8.0,8.1,9.0,7.4,7.0,8.22
Viara,Caminho e vida,fluido feminino e bonito,Sugere via + vida com sonoridade agradável,precisa checagem,8.8,8.8,8.0,8.6,8.3,7.4,7.0,8.18
Norte,Direção e confiança,forte brasileiro e claro,Oferece orientação em saúde; soa profissional e popular,uso alto,8.0,9.5,9.2,9.2,7.6,6.3,6.0,8.06
Liva,Vida leve,curto lindo e fácil,Sugere life/viva com simplicidade e beleza; bom para todos,uso prévio provável,9.1,8.8,7.8,8.2,8.4,7.1,6.4,8.04
CasaViva,Casa e vida,caloroso amplo e memorável,Combina pertencimento com saúde/vitalidade; bonito para todos,uso provável,8.7,9.2,7.8,8.7,9.3,6.0,5.8,8.02
Auren,Luz e confiança,curto moderno e sereno,Som premium sem ser frio; bom para plataforma ampla,precisa checagem,8.6,7.8,8.2,8.4,7.9,7.8,7.2,8.01
Savia,Sabedoria e vida,macio inteligente e feminino,Une sabedoria com vida sem explicitar IA; soa profissional e acolhedor,precisa checagem,8.5,8.2,8.8,8.3,8.1,7.0,6.7,8.0
Clareia,Entendimento e guia,popular e bonito,Promessa de tornar saúde clara; fácil para todos,descritivo,8.5,9.3,8.1,8.3,8.6,6.2,6.0,7.95
Zelos,Cuidado elevado,curto clássico e institucional,Eleva o sentido de zelo sem ser literal demais; mais registrável que Zelo,possível associação religiosa/mitológica,8.1,8.6,9.1,8.2,8.5,6.4,6.2,7.94
Zelo,Cuidado responsável,simples quente e confiável,Palavra compreensível por dona Maria e respeitável para médicos; comunica cuidado com responsabilidade,uso comum e baixa distintividade isolada,8.2,9.7,9.0,8.0,9.4,4.8,5.4,7.92
Morada,Casa e pertencimento,caloroso popular e bonito,Comunica lugar seguro onde profissionais e usuários se encontram,uso alto e pode parecer imobiliário,8.7,9.2,7.6,8.0,9.2,5.9,5.8,7.87
Humania,Humanidade proprietária,amplo e claro,Marca para saúde humana assistida por IA,precisa checagem,7.8,8.2,8.1,8.9,8.7,6.8,6.3,7.86
Unna,União proprietária,curto macio e memorável,Variação mais própria de Una com som simples e premium,precisa checagem,8.2,8.3,8.0,8.8,7.8,7.0,6.5,7.84
Vivera,Vida continuada,fluido caloroso e elegante,Parece plataforma de vida e saúde sem ser médica demais; fácil para fala cotidiana,uso prévio provável,8.8,8.8,7.9,8.4,8.4,6.0,5.8,7.83
Lúmia,Luz humana,macio premium e memorável,Mais distintivo que Lume; sugere clareza e tecnologia gentil,precisa checagem,8.9,8.0,8.0,8.1,8.5,6.5,6.2,7.82
Pleni,Completude proprietária,curto macio e digital,Variação marcável de Pleno/Plena sem perder sentido,precisa checagem,8.2,8.0,8.0,8.4,7.7,7.4,6.8,7.82
Ponte,Conexão e acesso,simples popular e forte,Metáfora universal para plataforma que aproxima profissionais e pacientes,genérico mas excelente,7.4,9.8,8.5,9.5,8.1,5.1,5.4,7.79
Serena,Tranquilidade e confiança,macio belo e universal,Nome lindo e acolhedor; bom para saúde sem ansiedade,uso alto,9.5,9.4,7.6,7.4,9.1,4.8,5.0,7.71
Vereda,Caminho natural,brasileiro literário e bonito,Evoca percurso, natureza e cuidado integrativo uso literário e pode soar regional,8.2,8.6,7.8,8.1,8.3,6.3,6.2,7.71
Vitala,Vitalidade proprietária,fluido feminino e aberto,Mais marcável que Vital; soa plataforma de saúde ampla,precisa checagem,8.2,8.5,7.8,8.5,8.0,6.5,6.0,7.71
Candeia,Luz acolhedora,brasileiro poético e caloroso,Evoca luz popular e humana; bonito e memorável,pode soar antigo,8.0,8.0,7.4,7.6,8.8,7.0,6.5,7.65
Lume,Luz próxima,curto quente e brasileiro,Palavra bonita e simples; soa como guia e cuidado,uso prévio provável,8.8,9.0,7.9,7.8,8.7,5.0,5.2,7.62
AlmaViva,Humanidade vital,caloroso brasileiro e amplo,Combina acolhimento e vida de modo popular e bonito,pode soar longo,8.5,8.7,7.4,8.0,9.2,5.5,5.2,7.6
Aurea,Valor e luz,premium clássico e belo,Transmite excelência e cuidado de alto valor,uso alto e acento opcional,8.7,8.0,8.4,8.0,7.7,5.8,5.4,7.53
Sereno,Tranquilidade confiável,masculino calmo e simples,Mais institucional que Serena e fácil para todos,pode soar pouco plataforma,8.2,9.0,8.0,7.5,8.7,5.2,5.2,7.52
Una,União e plataforma,curto feminino e inclusivo,Comunica integrar profissionais produtos dados e pessoas em uma só experiência,uso prévio alto,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Aurora,Recomeço e esperança,clássico belo e universal,Nome emocionalmente forte para saúde preventiva e transformação,uso prévio muito alto,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Meio,Caminho e acesso,simples e conceitual,Plataforma como meio seguro para cuidar,abstrato,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Áurea,Valor e luz,clássico brasileiro e premium,Sonoridade bonita; bom para marca elegante,acento e uso,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Auri,Luz e valor,curto macio e premium,Variação simples e memorável de áureo/aurora,precisa checagem,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Aro,Círculo e cuidado,curto redondo e simples,Sugere rede/ecossistema sem usar elo,pode ser abstrato demais,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Aldeia,Comunidade e proximidade,brasileiro acolhedor e popular,Comunidade de saúde com profissionais e famílias,pode soar artesanal demais,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Animae,Vida e alma proprietária,premium e suave,Eleva Anima sem perder sentido,pronúncia ambígua,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Eunoia,Bela mente,sofisticado e conceitual,Significa bela mente/boa vontade mas difícil para popular,rejeitar para massa,8.1,8.5,7.0,7.0,7.0,6.5,6.0,7.23
Aviva,Vida em movimento,aberto luminoso e humano,Curto internacional e com energia de vida sem parecer técnico; funciona para profissionais e público geral,provável uso prévio elevado,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viora,Vida e orientação,macio e premium,Soa bonito mas já foi problemático na rodada anterior; mantido apenas como controle,rejeitar se conflito confirmado,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Orbia,Ecossistema humano,redondo e feminino,Mais acolhedor que Orbe; sugere plataforma ampla e mundo de cuidado,possível uso em marcas globais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Curae,Cuidado sofisticado,latino médico e premium,Remete a cura/care com aparência internacional,pronúncia ambígua,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viora,Controle interno,macio premium,Mantido só como benchmark já descartado por conflito,conflito direto anterior,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viela,Caminho próximo,brasileiro e acolhedor,Sugere caminho humano de bairro e acesso,pode soar pequeno demais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Livia,Vida humana,clássico leve e confiável,Nome próprio bonito com raiz de vida,pode confundir com pessoa,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Levia,Leveza proprietária,macio elegante e claro,Boa sonoridade; tecnologia gentil e cuidado acessível,precisa checagem,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Nouri,Nutrição e cuidado,curto internacional e macio,Remete a nourish; bom para nutrição e wellness,inglês demais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Nuria,Luz e cuidado,macio e internacional,Bonito e memorável,mas pode soar estrangeiro/nome próprio,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Mirai,Futuro em japonês,tecnológico e belo,Bonito mas menos popular; remete futuro,pronúncia pode variar,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Aleva,Elevar e aliviar,curto aberto e positivo,Evoca melhora e suporte; fácil e bonito,precisa checagem,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Soma,Integralidade corpo e união,curto forte e universal,Remete ao corpo e ao conjunto; cabe em saúde integrativa IA e marketplace,uso prévio alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nexo,Conexão e inteligência,preciso profissional e simples,Expressa conexão entre médico paciente produto e IA; forte para plataforma,uso prévio alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Orbe,Círculo e ecossistema,curto redondo e sofisticado,Comunica mundo/ecossistema de saúde em torno da pessoa,mais abstrato para público popular,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Claria,Clareza proprietária,claro suave e técnico-humano,Mais marcável que Clara; comunica orientação e compreensão,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bema,Bem-estar simplificado,curto e amigável,Fácil para todo público e visualmente limpo,pode soar pequeno demais,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bemora,Bem-estar e morada,caloroso amplo e memorável,Sugere lugar de bem-estar e cuidado; plataforma como casa confiável,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Mora,Presença e casa,curto delicado e humano,Parece próximo e acolhedor; bom para plataforma de rotina,abstrato demais,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Curare,Cuidado clássico,latino fluido e médico,Tem base de curar/cuidado e tom profissional,associação farmacológica indesejada,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Sana,Saúde latina,curto limpo e universal,Bonito e óbvio sem ser pesado,uso global muito alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Sanora,Saúde sonora,fluido e confiável,Sugere saúde e orientação com boa musicalidade,possível uso prévio,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Pontia,Ponte proprietária,macio e plataforma,Variação mais marcável de Ponte com tom feminino,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nona,Sabedoria familiar,curto humano e popular,Remete a cuidado familiar e tradição,pode parecer restaurante/família italiana,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Meya,Meio e mediação,curto suave e moderno,Sugere mediação entre pessoas e cuidado,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nortia,Direção proprietária,claro feminino e leve,Cria marca de orientação sem literalidade excessiva,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Ruma,Direção feminina,curto e simples,Variação mais proprietária com som aberto,pode soar estranho,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Rotina,Cuidado cotidiano,popular e simples,Saúde como hábito do dia a dia,pouco premium,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Natura,Cuidado natural,forte e conhecido,Excelente semântica mas inviável por marca famosa,descartar,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Essena,Essência simplificada,macio e premium,Mais acessível que Essenza,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Arvo,Árvore e vida,curto natural e forte,Evoca vida crescimento e raízes com som escandinavo/latino,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Árvore,Vida e ecossistema,brasileiro simbólico e bonito,Plataforma como árvore de cuidado; universal e caloroso,longo e acento,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bosque,Natureza e acolhimento,calmo brasileiro e memorável,Sensação de lugar seguro e vivo,pode parecer hotel/escola,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Domo,Proteção e espaço,curto forte e arquitetônico,Sugere abrigo/ecossistema tecnológico,menos caloroso,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Velo,Movimento e leveza,curto elegante,Não comunica saúde diretamente mas soa premium,abstrato,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Seguro,Proteção,claro e popular,Pode gerar confiança,mas parece seguro/insurance,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nosa,Coletividade proprietária,curto humano e macio,Sugere nós/nossa com marca curta,pode parecer erro ortográfico,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Mãe,Cuidado primordial,fortíssimo e popular,Extremamente emocional e universal,pode restringir e gerar complexidade,8.1,8.1,7.0,7.0,7.0,6.5,6.0,7.16
Alívio,Cuidado imediato,popular emocional e claro,Promessa forte para saúde e orientação,acentos e pode soar remédio,8.1,8.1,7.0,7.0,7.0,6.5,6.0,7.16
Sabiá,Brasilidade inteligente,memorável musical e popular,Nome brasileiro bonito fácil de falar e associado a canto leveza e inteligência,acento e muitos usos culturais,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Acolá,Lugar de cuidado,brasileiro curioso e leve,Sugere lugar próximo com calor humano e diferença sonora,risco de informalidade,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Raíza,Raiz com assinatura,brasileiro bonito e humano,Tem força natural e som de nome próprio,acento e checagem,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Lévia,Leveza com assinatura,belo e feminino,Acento dá refinamento; soa como nome próprio,acento e checagem,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Clara,Transparência e entendimento,limpo familiar e confiável,Promessa de clareza em saúde e IA; ótimo para confiança popular,uso muito alto como nome próprio e marcas,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Bemma,Bem-estar proprietario,macio feminino e simples,Sugere bem-estar com forma de marca curta e humana,precisa checagem,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Salva,Proteção vital,forte emocional e simples,Tem energia de ajuda imediata e cuidado,pode soar emergencial demais,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Toddo,Todos com marca,curto popular e proprietário,Variação visual de todo; fácil e inclusivo,pode parecer startup genérica,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Junta,Comunidade,informal e brasileira,Simples mas talvez inadequado para saúde profissional,baixo premium,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Ritmo,Hábito e vida,curto dinâmico e humano,Saúde como equilíbrio de rotina,pode parecer música/fitness,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Pulso,Vida e tecnologia,forte médico e humano,Excelente ligação com vida, saúde e monitoramento pode soar clínico/financeiro,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Terra,Cuidado natural e amplo,simples forte e popular,Conecta natureza, vida e confiança pode parecer agro/imobiliário,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
